Team,OffRating,DefRating,Source
Abilene Christian,100,100,Sports-Reference
Air Force,100,100,Sports-Reference
Air Force Academy,100,100,NCAA Hardcoded
Akron,100,100,Sports-Reference
Alabama,100,100,Sports-Reference
Alabama A&amp;M,100,100,Sports-Reference
Alabama State,100,100,Sports-Reference
Albany (NY),100,100,Sports-Reference
Alcorn State,100,100,Sports-Reference
Allegheny Gators,100,100,Sports-Reference
American,100,100,Sports-Reference
American University,100,100,NCAA Hardcoded
Amherst Lord Jeffs,100,100,Sports-Reference
Appalachian State,100,100,Sports-Reference
Arizona,100,100,Sports-Reference
Arizona State,100,100,Sports-Reference
Arkansas,100,100,Sports-Reference
Arkansas State,100,100,Sports-Reference
Arkansas-Little Rock,100,100,NCAA Hardcoded
Arkansas-Pine Bluff,100,100,Sports-Reference
Armstrong Pirates,100,100,Sports-Reference
Army,100,100,Sports-Reference
Auburn,100,100,Sports-Reference
Augusta,100,100,Sports-Reference
Augusta Jaguars,100,100,Sports-Reference
Augustana (IL) Vikings,100,100,Sports-Reference
Austin Peay,100,100,Sports-Reference
Baker,100,100,Sports-Reference
Baldwin-Wallace Yellow Jackets,100,100,Sports-Reference
Ball State,100,100,Sports-Reference
Baltimore Super Bees,100,100,Sports-Reference
Baylor,100,100,Sports-Reference
Bellarmine,100,100,Sports-Reference
Belmont,100,100,Sports-Reference
Beloit Buccaneers,100,100,Sports-Reference
Bethune-Cookman,100,100,Sports-Reference
Binghamton,100,100,Sports-Reference
Birmingham-Southern,100,100,Sports-Reference
Birmingham-Southern Panthers,100,100,Sports-Reference
Bloomsburg Huskies,100,100,Sports-Reference
Boise State,100,100,Sports-Reference
Boston College,100,100,Sports-Reference
Boston University,100,100,Sports-Reference
Bowling Green,100,100,Sports-Reference
Bradley,100,100,Sports-Reference
Brigham Young,100,100,Sports-Reference
Brigham Young College,100,100,Sports-Reference
Brooklyn,100,100,Sports-Reference
Brooklyn Bulldogs,100,100,Sports-Reference
Brown,100,100,Sports-Reference
Bryant,100,100,Sports-Reference
Bucknell,100,100,Sports-Reference
Buffalo,100,100,Sports-Reference
Butler,100,100,Sports-Reference
BYU,100,100,NCAA Hardcoded
Cal Poly,100,100,Sports-Reference
Cal State Bakersfield,100,100,Sports-Reference
Cal State Fullerton,100,100,Sports-Reference
Cal State Los Angeles Golden Eagles,100,100,Sports-Reference
Cal State Northridge,100,100,Sports-Reference
