team_name,adjO,adjD,Source
Abilene Christian,100,100,Sports-Reference
Air Force,100,100,Sports-Reference
Akron,100,100,Sports-Reference
Alabama,100,100,Sports-Reference
American University,100,100,NCAA Hardcoded
Appalachian State,100,100,Sports-Reference
Arizona,100,100,Sports-Reference
Arizona State,100,100,Sports-Reference
Arkansas,100,100,Sports-Reference
Arkansas State,100,100,Sports-Reference
Army,100,100,Sports-Reference
Auburn,100,100,Sports-Reference
Austin Peay,100,100,Sports-Reference
Baylor,100,100,Sports-Reference
Belmont,100,100,Sports-Reference
Boise State,100,100,Sports-Reference
Boston College,100,100,Sports-Reference
Boston University,100,100,Sports-Reference
Bowling Green,100,100,Sports-Reference
Bradley,100,100,Sports-Reference
Brown,100,100,Sports-Reference
Bucknell,100,100,Sports-Reference
Buffalo,100,100,Sports-Reference
Butler,100,100,Sports-Reference
BYU,100,100,NCAA Hardcoded
Campbell,100,100,Sports-Reference
Canisius,100,100,Sports-Reference
Central Connecticut,100,100,NCAA Hardcoded
Central Michigan,100,100,Sports-Reference
Charleston,100,100,NCAA Hardcoded
Chattanooga,100,100,Sports-Reference
Cheyney,100,100,Sports-Reference
Cincinnati,100,100,Sports-Reference
Citadel,100,100,NCAA Hardcoded
Clemson,100,100,Sports-Reference
Cleveland State,100,100,Sports-Reference
Coastal Carolina,100,100,Sports-Reference
Colgate,100,100,Sports-Reference
College of Charleston,100,100,Sports-Reference
Colorado,100,100,Sports-Reference
Colorado State,100,100,Sports-Reference
Columbia,100,100,Sports-Reference
Connecticut,100,100,Sports-Reference
Coppin State,100,100,Sports-Reference
Cornell,100,100,Sports-Reference
Creighton,100,100,Sports-Reference
Dartmouth,100,100,Sports-Reference
Davidson,100,100,Sports-Reference
Delaware,100,100,Sports-Reference
Delaware State,100,100,Sports-Reference
Denver,100,100,Sports-Reference
DePaul,100,100,Sports-Reference
Detroit Mercy,100,100,Sports-Reference
Drexel,100,100,Sports-Reference
Duke,100,100,Sports-Reference
Duquesne,100,100,Sports-Reference
East Carolina,100,100,Sports-Reference
Eastern Illinois,100,100,Sports-Reference
Eastern Kentucky,100,100,Sports-Reference
Eastern Michigan,100,100,Sports-Reference
ETSU,100,100,NCAA Hardcoded
Evansville,100,100,Sports-Reference
Fairfield,100,100,Sports-Reference
Fairleigh Dickinson,100,100,NCAA Hardcoded
Florida,100,100,Sports-Reference
Florida A&M,100,100,NCAA Hardcoded
