teamName,espnId,conference,wins,losses
"American University Eagles","44","Unknown",0,0
"Arizona State Sun Devils","9","Unknown",0,0
"Arizona Wildcats","12","Unknown",0,0
"Arkansas Razorbacks","8","Unknown",0,0
"Auburn Tigers","2","Unknown",0,0
"Bellarmine Knights","91","Unknown",0,0
"Boise State Broncos","68","Unknown",0,0
"Bradley Braves","71","Unknown",0,0
"Cal Poly Mustangs","13","Unknown",0,0
"California Golden Bears","25","Unknown",0,0
"Colorado Buffaloes","38","Unknown",0,0
"Colorado State Rams","36","Unknown",0,0
"Delaware Blue Hens","48","Unknown",0,0
"Florida A&M Rattlers","50","Unknown",0,0
"Florida Gators","57","Unknown",0,0
"Florida State Seminoles","52","Unknown",0,0
"George Washington Revolutionaries","45","Unknown",0,0
"Georgetown Hoyas","46","Unknown",0,0
"Georgia Bulldogs","61","Unknown",0,0
"Georgia Tech Yellow Jackets","59","Unknown",0,0
"Hawai'i Rainbow Warriors","62","Unknown",0,0
"Howard Bison","47","Unknown",0,0
"IU Indianapolis Jaguars","85","Unknown",0,0
"Idaho Vandals","70","Unknown",0,0
"Indiana Hoosiers","84","Unknown",0,0
"Iowa State Cyclones","66","Unknown",0,0
"Jacksonville State Gamecocks","55","Unknown",0,0
"Kentucky Wildcats","96","Unknown",0,0
"Louisville Cardinals","97","Unknown",0,0
"Murray State Racers","93","Unknown",0,0
"Northern Kentucky Norse","94","Unknown",0,0
"Northwestern Wildcats","77","Unknown",0,0
"Notre Dame Fighting Irish","87","Unknown",0,0
"Sacramento State Hornets","16","Unknown",0,0
"San Diego State Aztecs","21","Unknown",0,0
"San José State Spartans","23","Unknown",0,0
"South Alabama Jaguars","6","Unknown",0,0
"South Florida Bulls","58","Unknown",0,0
"Southern Illinois Salukis","79","Unknown",0,0
"Stanford Cardinal","24","Unknown",0,0
"Stetson Hatters","56","Unknown",0,0
"UAB Blazers","5","Unknown",0,0
"UC Riverside Highlanders","27","Unknown",0,0
"UC San Diego Tritons","28","Unknown",0,0
"UCLA Bruins","26","Unknown",0,0
"UConn Huskies","41","Unknown",0,0
"UIC Flames","82","Unknown",0,0
"USC Trojans","30","Unknown",0,0
"Western Kentucky Hilltoppers","98","Unknown",0,0
"Yale Bulldogs","43","Unknown",0,0
