rank,team_name,gp,pts,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct,or,dr,reb,ast,stl,blk,to,pf
1,Florida Gators,19,86.1,30.0,64.7,46.3,7.5,26.1,28.6,18.6,26.4,70.7,17.2,29.4,46.5,15.5,6.4,4.9,12.3,17.7
2,Kennesaw State Owls,19,88.4,29.6,66.1,44.9,10.3,29.4,34.9,18.9,27.1,69.7,15.8,28.9,44.8,15.4,7.3,5.5,12.8,20.6
3,Charleston Southern Buccaneers,21,84.4,29.8,65.6,45.4,12.4,34.5,35.9,12.5,19.5,64.1,12.3,31.2,43.5,17.5,4.5,4.7,12.7,21.8
4,Arizona Wildcats,19,89.9,32.1,62.2,51.5,6.1,16.8,35.9,19.7,26.8,73.5,13.6,29.8,43.4,18.5,8.5,4.3,11.6,16.4
5,Saint Louis Billikens,19,91.2,32.1,62.1,51.7,10.6,27.5,38.4,16.4,21.5,76.0,11.4,31.8,43.2,19.2,7.4,3.3,12.3,18.5
6,Gonzaga Bulldogs,21,89.9,34.2,65.9,52.0,7.1,19.7,36.2,14.2,20.3,70.0,13.0,29.9,42.9,18.9,9.1,3.5,10.5,17.9
7,South Florida Bulls,18,90.2,29.4,67.1,43.9,10.2,30.1,33.8,21.2,28.6,74.0,15.4,27.5,42.9,17.5,9.8,4.6,11.5,21.2
8,Michigan Wolverines,18,92.7,32.2,62.3,51.7,9.6,26.8,35.7,18.7,25.8,72.4,11.4,31.2,42.7,19.4,6.7,6.2,12.2,16.3
9,Sam Houston Bearkats,19,84.6,30.3,65.1,46.6,9.2,25.5,36.2,14.7,20.1,73.5,14.4,28.3,42.6,16.1,7.6,2.9,12.4,18.9
10,Alabama Crimson Tide,18,93.1,31.1,67.8,45.8,12.6,36.0,35.0,18.4,24.5,75.1,13.2,29.3,42.6,16.5,6.8,6.2,9.8,20.0
10,Tennessee Volunteers,18,82.4,29.1,60.4,48.2,7.2,20.7,34.9,16.9,24.5,69.2,15.2,27.4,42.6,17.9,8.1,3.8,13.2,18.1
12,Georgia Bulldogs,19,94.8,32.1,67.9,47.3,9.5,29.6,32.0,21.2,27.8,76.1,14.2,28.1,42.3,15.3,9.1,7.4,11.3,17.0
13,Illinois Fighting Illini,19,85.3,28.9,61.4,47.1,10.7,30.3,35.2,16.8,21.1,79.8,13.4,28.6,42.1,14.8,3.9,5.2,9.7,13.0
14,Virginia Cavaliers,18,84.0,28.9,61.1,47.4,10.6,28.4,37.1,15.6,22.2,70.0,14.2,27.7,41.9,17.4,6.6,6.4,10.8,19.0
15,Cal State Northridge Matadors,20,81.0,29.0,64.7,44.8,7.3,22.7,32.2,15.8,23.6,67.1,13.5,28.3,41.8,16.6,7.0,2.6,13.5,18.4
16,Michigan State Spartans,19,78.5,27.7,58.6,47.2,7.5,21.3,35.3,15.6,21.4,72.7,13.2,28.4,41.6,18.6,5.9,4.7,12.3,15.6
17,Columbia Lions,18,80.6,29.6,60.4,49.0,7.9,22.2,35.7,13.4,18.3,73.3,13.1,28.4,41.5,16.2,5.7,3.4,13.6,16.7
18,Western Kentucky Hilltoppers,19,79.8,26.1,64.0,40.8,8.4,24.9,33.5,19.3,26.3,73.3,14.5,26.9,41.5,13.1,8.1,2.8,10.4,19.6
